order_item_id,order_id,product_id,quantity,unit_price
1,1,13,1,351.94
2,1,42,4,260.75
3,2,75,5,426.03
4,2,90,4,95.48
5,2,75,3,426.03
6,2,32,5,385.75
7,2,67,2,281.75
8,3,135,5,351.73
9,4,108,2,227.68
11,4,147,2,294.42
12,4,84,3,283.77
13,4,95,2,247.95
14,5,78,3,295.11
16,6,119,3,52.3
17,7,87,1,401.08
18,7,147,3,294.42
19,7,84,1,283.77
20,7,53,4,313.49
21,7,64,2,207.38
22,8,60,4,395.83
23,8,102,1,427.89
24,8,81,5,289.58
25,9,40,4,56.1
26,10,10,1,281.25
27,10,94,5,424.77
28,11,115,2,328.24
30,12,59,4,438.04
31,13,117,4,209.92
32,13,89,1,279.5
33,13,21,2,337.13
34,13,125,3,317.37
35,14,139,5,168.47
36,14,5,2,163.55
37,15,15,4,239.62
38,15,119,4,52.3
39,15,67,5,281.75
40,16,93,4,339.53
41,16,87,2,401.08
42,16,150,4,34.59
43,16,130,2,276.37
47,19,39,5,197.11
48,19,82,1,254.07
49,20,100,5,276.54
50,20,75,2,426.03
52,20,51,3,473.89
53,21,133,3,145.92
54,21,3,4,196.01
55,21,81,4,289.58
56,21,110,5,290.54
57,21,116,2,391.58
58,22,21,1,337.13
59,22,95,2,247.95
60,22,106,3,393.74
61,22,60,2,395.83
62,23,47,3,242.12
63,23,142,1,127.35
64,23,12,2,269.74
65,24,46,2,332.25
66,25,96,5,376.33
67,26,27,3,357.54
68,27,35,1,333.03
70,27,100,4,276.54
71,28,34,1,71.27
72,28,38,1,119.72
73,28,65,1,428.21
75,29,72,2,48.63
76,29,6,4,315.33
77,29,1,2,61.79
78,29,102,3,427.89
79,30,136,1,97.04
80,30,107,5,53.99
81,31,111,4,180.78
82,31,143,5,262.96
83,31,53,1,313.49
84,31,139,4,168.47
85,31,142,1,127.35
86,32,52,2,89.43
87,32,58,5,449.0
88,33,104,4,102.05
89,34,149,5,50.24
90,34,64,4,207.38
91,34,129,5,153.31
92,35,77,1,47.99
93,35,101,4,96.04
94,35,91,3,121.26
95,35,145,3,130.39
96,35,3,2,196.01
97,36,37,5,369.28
98,36,147,5,294.42
100,36,131,5,85.82
101,37,118,2,470.52
102,37,28,5,439.55
103,37,43,4,409.53
104,38,42,1,260.75
105,39,5,5,163.55
106,40,1,5,61.79
107,40,124,5,276.53
108,41,142,2,127.35
109,42,4,3,259.58
110,42,92,3,418.99
111,42,145,5,130.39
113,43,9,2,359.85
114,43,60,3,395.83
115,43,124,4,276.53
116,44,43,2,409.53
117,44,89,4,279.5
118,44,48,5,26.36
119,45,113,3,322.09
120,45,84,4,283.77
121,45,60,4,395.83
122,46,56,5,304.73
123,46,48,1,26.36
124,46,37,2,369.28
125,47,89,3,279.5
126,47,79,2,277.05
127,48,84,4,283.77
128,48,13,3,351.94
129,48,94,2,424.77
130,48,76,4,309.52
131,48,147,5,294.42
132,49,8,2,325.05
133,49,52,5,89.43
134,49,122,5,224.36
135,49,122,5,224.36
136,49,47,4,242.12
137,50,124,1,276.53
138,50,109,3,175.35
143,52,88,5,127.89
144,52,74,3,473.13
145,53,118,5,470.52
146,53,126,3,454.92
147,53,29,2,92.01
148,53,138,1,393.93
149,53,116,3,391.58
150,54,85,2,342.39
151,54,101,2,96.04
152,54,129,5,153.31
153,55,138,3,393.93
154,55,147,1,294.42
155,55,38,4,119.72
156,55,23,5,364.17
157,56,82,1,254.07
159,57,81,4,289.58
160,57,137,1,120.24
161,57,77,4,47.99
162,57,136,4,97.04
163,58,131,2,85.82
164,58,2,4,479.65
165,58,64,4,207.38
166,59,92,1,418.99
167,59,11,2,228.31
168,60,140,4,40.34
169,60,46,3,332.25
170,61,9,4,359.85
171,62,138,3,393.93
172,62,32,5,385.75
173,62,68,4,369.21
174,63,67,5,281.75
175,63,55,5,105.16
176,63,1,5,61.79
177,64,70,3,401.42
178,64,85,2,342.39
179,64,51,5,473.89
180,64,99,1,192.82
181,65,17,4,478.91
182,65,57,3,51.13
184,65,132,1,44.21
185,65,68,3,369.21
186,66,22,3,324.11
187,66,72,4,48.63
188,67,56,2,304.73
189,67,124,2,276.53
190,67,8,4,325.05
191,67,148,3,345.76
192,67,37,2,369.28
193,68,14,5,305.25
195,68,9,2,359.85
197,68,81,2,289.58
198,69,7,4,418.65
199,70,44,5,253.41
200,70,121,4,329.14
