order_id,customer_id,order_date,status
1,129,2025-02-25 21:32:23,Pending
2,661,2026-02-10 07:51:09,Cancelled
3,751,2024-06-26 12:35:02,Completed
4,742,2025-01-22 13:26:24,Cancelled
5,724,2025-07-04 10:33:49,Refunded
6,502,2024-07-25 12:46:09,Completed
7,332,2025-06-06 14:35:44,Pending
8,568,2025-12-22 07:03:16,Cancelled
9,303,2025-12-01 18:38:59,Cancelled
10,1,2024-07-17 05:58:16,Refunded
11,190,2024-12-28 13:47:05,Completed
12,795,2026-01-04 09:04:22,Completed
13,675,2025-09-24 08:24:33,Completed
14,537,2025-03-26 09:03:42,Completed
15,628,2024-05-29 20:09:22,Completed
16,114,2024-02-01 23:02:23,Completed
19,398,2024-11-11 01:57:12,Refunded
20,605,2025-10-08 01:40:16,Pending
21,736,2025-04-16 23:40:59,Completed
22,672,2024-12-21 23:41:42,Completed
23,480,2026-04-05 19:22:12,Pending
24,762,2024-01-25 09:42:51,Completed
25,726,2025-08-10 11:33:15,Pending
26,42,2025-06-08 09:12:47,Completed
27,222,2025-07-28 23:50:55,Refunded
28,237,2025-03-17 12:09:43,Pending
29,673,2024-08-12 05:24:49,Completed
30,572,2024-04-26 10:40:04,Completed
31,785,2024-12-06 06:50:09,Cancelled
32,720,2025-07-14 14:27:18,Completed
33,185,2026-01-23 14:55:41,Refunded
34,162,2026-02-22 06:49:05,Completed
35,323,2025-09-14 02:36:31,Completed
36,423,2026-04-08 14:16:58,Refunded
37,332,2024-05-15 03:42:44,Completed
38,385,2024-05-17 08:34:21,Completed
39,369,2025-09-23 12:40:17,Cancelled
40,1,2026-01-12 04:11:52,Pending
41,17,2024-07-25 15:37:02,Completed
42,7,2025-07-15 03:06:00,Completed
43,23,2026-03-25 02:08:23,Completed
44,567,2025-07-03 16:30:48,Pending
45,159,2024-06-07 19:02:01,Completed
46,142,2024-09-18 18:10:13,Completed
47,239,2026-02-15 23:01:14,Pending
48,410,2025-09-21 16:10:32,Completed
49,741,2026-01-24 14:04:18,Cancelled
50,707,2025-12-13 03:21:27,Completed
52,391,2024-11-18 12:42:16,Completed
53,357,2024-04-27 16:53:12,Completed
54,789,2025-01-20 13:25:54,Pending
55,12,2024-03-20 08:31:14,Completed
56,313,2024-11-14 20:34:35,Pending
57,154,2024-02-01 15:57:29,Completed
58,52,2024-12-27 18:06:26,Cancelled
59,771,2026-04-06 15:20:59,Completed
60,443,2025-05-17 04:01:43,Completed
61,345,2025-02-22 06:05:02,Completed
62,562,2025-04-10 22:21:25,Pending
63,445,2024-12-20 11:03:46,Completed
64,493,2025-03-29 12:38:49,Refunded
65,586,2026-05-24 04:53:20,Refunded
66,537,2025-11-27 10:50:11,Cancelled
67,332,2026-01-05 02:37:31,Completed
68,688,2026-01-25 21:58:47,Completed
69,329,2024-07-01 02:41:08,Completed
70,174,2024-02-05 03:23:25,Cancelled
71,639,2024-01-13 21:34:57,Completed
72,205,2024-04-23 14:01:54,Refunded
73,88,2024-12-27 03:27:07,Pending
74,152,2024-11-18 16:40:57,Completed
75,352,2026-02-09 02:06:54,Cancelled
76,483,2026-01-20 07:46:20,Pending
77,217,2025-05-19 08:23:30,Completed
78,562,2026-03-24 11:25:27,Completed
80,45,2025-05-25 08:39:52,Completed
81,714,2026-05-26 07:10:19,Refunded
82,9,2025-10-05 05:53:08,Refunded
83,676,2026-05-27 21:24:27,Completed
84,665,2025-03-25 02:50:44,Pending
85,727,2025-12-24 02:40:38,Pending
86,545,2025-07-28 04:09:16,Cancelled
88,342,2025-11-25 05:20:51,Completed
89,356,2025-05-01 14:16:12,Completed
90,242,2024-08-23 06:49:46,Completed
91,64,2025-01-01 17:04:24,Completed
92,569,2024-07-01 11:26:57,Completed
93,403,2025-02-07 05:21:39,Cancelled
94,534,2024-08-27 06:42:07,Refunded
95,703,2024-05-12 05:31:44,Completed
96,437,2026-06-11 11:40:51,Completed
97,460,2026-05-28 08:39:58,Completed
98,595,2026-06-13 17:46:40,Completed
99,317,2026-06-14 00:45:33,Completed
100,441,2024-05-09 00:41:40,Completed
101,672,2024-05-27 00:32:22,Completed
102,70,2025-10-10 16:43:03,Completed
103,189,2024-01-16 09:13:28,Refunded
104,31,2024-04-06 16:26:20,Cancelled
105,422,2025-07-07 08:48:36,Refunded
106,757,2024-08-19 04:07:40,Completed
107,135,2024-05-20 06:22:15,Pending
108,632,2025-05-25 08:29:56,Completed
109,611,2025-09-02 16:35:49,Completed
110,82,2025-11-05 15:45:03,Pending
111,620,2024-05-20 13:14:36,Completed
112,397,2026-01-13 02:10:34,Completed
113,232,2026-06-21 15:07:21,Completed
114,277,2025-07-29 03:30:52,Refunded
115,208,2024-06-16 17:52:17,Cancelled
116,632,2025-10-30 21:41:45,Cancelled
117,253,2024-11-18 06:08:54,Pending
118,753,2024-02-22 01:44:39,Cancelled
119,627,2024-06-15 17:59:49,Pending
120,538,2026-03-20 08:35:11,Completed
121,534,2026-06-23 12:49:35,Completed
122,252,2024-11-03 11:50:23,Refunded
123,41,2024-12-04 12:27:26,Refunded
124,51,2024-02-14 22:05:26,Completed
125,793,2024-12-20 22:27:43,Cancelled
126,302,2026-01-28 23:15:03,Pending
127,146,2025-08-01 21:04:44,Completed
128,740,2025-10-19 19:06:56,Pending
129,713,2026-02-26 13:16:49,Completed
130,462,2024-08-10 20:51:17,Refunded
131,207,2026-02-17 23:32:51,Completed
132,709,2024-04-14 12:41:00,Completed
133,736,2024-02-20 11:44:37,Refunded
134,461,2024-12-27 12:04:00,Refunded
135,394,2025-12-23 09:46:33,Pending
136,164,2024-09-08 05:38:51,Completed
137,344,2026-01-24 00:14:45,Completed
138,167,2024-01-06 18:01:31,Refunded
139,53,2025-09-01 11:04:05,Cancelled
140,296,2024-07-27 17:22:27,Completed
143,244,2024-04-21 03:56:49,Cancelled
144,420,2025-05-26 16:40:20,Completed
